number,name,rank,limit,description,class,spellType
43,Fledgling Gambler (Egg of Major Gambler),B,30,"Warm this magic egg in your hand for three hours a day for one to ten years, and you will become a top gambler when it hatches. The stronger your desire during incubation, the sooner it will hatch.",Specified Slot,null
44,Fledgling Actor,B,30,"Warm this magic egg in your hand for three hours a day for one to ten years, and you will become a top actor when it hatches. The stronger your desire during incubation, the sooner it will hatch.",Specified Slot,null
45,Fledgling CEO,B,30,"Warm this magic egg in your hand for three hours a day for one to ten years, and you will become a top CEO when it hatches. The stronger your desire during incubation, the sooner it will hatch.",Specified Slot,null
46,Gold Dust Girl,A,13,"A girl who sheds gold dust from her body—500g of gold can be harvested from her daily bath. Very shy, she rarely leaves the house.",Specified Slot,null
47,Sleeping Girl,A,11,A girl who sleeps in your stead. You can be active for 24 hours without sleeping while she sleeps for you.,Specified Slot,null
48,Aromatherapy Girl,A,15,"A girl who emits the most comfortable aroma for you. While she's by your side, you will be free of stress.",Specified Slot,null
49,Miniature Mermaid,B,23,"A mermaid small enough to fit in your hand. A comfortable living environment puts her in a good mood, and she will sing with her beautiful voice.",Specified Slot,null
50,Miniature Dino,A,11,A dinosaur small enough to fit in your hand. This creature produces a different species of tiny dinosaur with each new generation.,Specified Slot,null
51,Miniature Dragon,S,10,"A dragon small enough to fit in your hand. It will obey your commands, and will eventually learn to talk if raised with love.",Specified Slot,null
52,Pearl Locusts,B,30,Each of these locusts has a pearl in its abdomen. An outbreak occurs once every dozen years or so.,Specified Slot,null
53,King Great White Beetle,A,30,It uses special pheromones to lure other insects to build a huge colony. It leaves the colony once a day for an evening stroll.,Specified Slot,null
54,Millennium Butterfly,A,25,A legendary insect named from the fact that the family of anyone who captures it will prosper for generations.,Specified Slot,null
55,Revenge Shop,A,20,Report your grudges to the manager and he will retaliate for you in proportion to your grievance. Pay extra to request a more severe retaliation.,Specified Slot,null
56,Perfect Memory Studio,B,25,Specify a time and date to get a picture of yourself in the past. You may also request a sequence of photographs.,Specified Slot,null
57,Hideout Realtor,A,11,"The agent will build a secret room just for you at a place of your choosing. However, you must not tell anyone about it or bring anybody to it.",Specified Slot,null
58,Secrets Video Rental,A,13,Rent videos of other peoples secrets. You must not show the video or discuss its contents with anyone.,Specified Slot,null
59,Instant Foreign Language School,A,20,"Spend time studying a language at this school, and you will accrue time on a timer (included). While the timer is activated and counting down, you will be fluent.",Specified Slot,null
60,Long Lost Delivery,B,30,"Call the number and describe the item you lost, and it will be delivered to you the next day. It must be lost for longer than a month.",Specified Slot,null
61,Vending Check-Up,A,20,"A full-body medical scan for just 500. However, the only results are ""All Clear"" or ""Anomaly Detected,"" in which case it is recommended you see a doctor.",Specified Slot,null
62,"Club ""You Rule""",B,20,"Everyone in the club will do your bidding while you are there. However, one hour in the club equals a day outside.",Specified Slot,null
63,Virtual Restaurant,B,30,"You can order any food you want. You will feel full, but it is only an illusion. You will be given a multivitamin as you leave.",Specified Slot,null
64,Witch's Love Potion,B,30,"Kiss a pill and have your intended drink it, and he or she will fall in love with you. One pill lasts one week; one vial contains 500 pills.",Specified Slot,null
65,Witch's Rejuvenation Potion,S,10,"Each pill makes you physically younger by one year. You will retain all knowledge and memories. Beware, as you will die if you take more than your age. One vial contains 100 pills.",Specified Slot,null
66,Witch's Diet Pills,B,28,"Each pill makes you lose one kg. One vial contains 200 pills. Beware, as you will die if you take more than you weigh.",Specified Slot,null
67,Doyen's Growth Pills,B,30,Each pill makes you grow one cm taller. One vial contains 100 pills. Not recommended for people under 20 years of age.,Specified Slot,null
68,Doyen's Virility Pills,A,20,A certain part of your anatomy will get very frisky. Both endurance and frequency are enhanced. One vial contains 500 pills.,Specified Slot,null
69,Doyen's Hair Restorer,B,30,"Luxurious hair will grow wherever it is applied. Use gloves, or hair will grow on fingers and palms. One vial contains 200 ml (enough to cover ten heads).",Specified Slot,null
70,Mad Scientist's Steroids,A,16,"Get all the muscles you want without exercise. You must drink a liter a day for a week, and it tastes horrible. A seven-box set, with ten one-L bottles per box.",Specified Slot,null
71,Mad Scientist's Pheromones,A,20,"Spray on your body to attract the opposite sex. However, you cannot adjust the strength of its effect, so be careful as it may cause a proliferation of stalkers.",Specified Slot,null
72,Mad Scientist's Plastic Surgery,A,15,"Scan a picture of the face you want and you will end up an exact likeness. Each surgery carries a 5% chance of failure, and a 1% chance the machine itself will break.",Specified Slot,null
73,Night Jade,A,15,"A jewel ""blessed"" by the Devil. When danger is about to befall its owner, it will deflect it to someone else.",Specified Slot,null
74,Sage's Aquamarine,A,15,Its owner will have many intelligent friends and keep those friendships for their entire lives.,Specified Slot,null
75,Wild Luck Alexandrite,A,20,"Its owner will get to have once-in-a-lifetime experiences, though you cannot choose whether they're for better or for worse...",Specified Slot,null
76,Roaming Ruby,B,30,"The owner of this ruby will gain immense wealth, but will never be able to remain in the same place for more than a week.",Specified Slot,null
77,Beauty Magnet Emerald,S,10,"Specialists offering beauty services will flock to its owner, who will shine with heretofore unrecognized beauty.",Specified Slot,null
78,Lonely Sapphire,B,30,"The owner of this sapphire will acquire vast wealth, but in exchange will spend a lifetime alone, forsaken by friends, family, and significant others.",Specified Slot,null
79,Rainbow Diamond,A,20,"A diamond that shines in a rainbow of colors. Propose with this diamond and she is guaranteed to say ""yes.""",Specified Slot,null
80,Levitation Stone,S,7,"A stone about one carat in size that levitates. It can levitate one person, and receives energy from sunlight.",Specified Slot,null
81,Blue Planet,SS,5,"A unique blue jewel. Its composition does not correspond to any known mineral, so it was given this name to mean ""a gift from space.""",Specified Slot,null
82,Staff of Judgment,A,15,"Raise this staff in the air while calling out the name of someone you want to punish, and calamity will befall the one of you who has committed more bad deeds, the target or yourself.",Specified Slot,null
83,Sword of Truth,B,22,"Splits in two anything and anyone deceitful. In trials, it's a criminal's worst nightmare. The sword will shatter when used to cut something true, but will regenerate if stored in its scabbard for one day.",Specified Slot,null
84,Paladin's Necklace,D,60,"A player wearing this will reflect curses cast upon him, and be able to undo curses placed on cards he touches.",Specified Slot,null
85,Scapegoat/Sacrifice Armor,S,8,"Renders ineffective any attack by a weapon reverted from a card. Beware, as it will randomly break sometime within the first 100 attacks.",Specified Slot,null
86,Quiver of Frustration,A,11,"You will be able to cast as many ""Leaves"" as you have arrows. It comes with 10 arrows, and one will be used each time you cast ""Leave.""",Specified Slot,null
87,Shield of Faith,S,15,"The spells ""Relegate,"" ""Return,"" ""Drift,"" and ""Collision"" will be rendered ineffective within a radius of 20 M of the player armed with this shield.",Specified Slot,null
88,Eternal Hammer,A,15,"Anyone hit with this hammer will be afflicted with one random attack spell, and cannot defend him or herself with a defensive spell. However, it will not work on someone using ""Fortress"" or Paladin's Necklace.",Specified Slot,null
89,Tax Collector's Gauntlet,A,20,"Grants you the ability to cast ""Levy."" However, it will destroy one random specified slot card from your binder every time. (You cannot cast it if your specified slots are empty.)",Specified Slot,null
90,Memory Helmet,A,20,"You will never forget things you see or hear while wearing this helmet. Unfortunately, it's extremely large and heavy.",Specified Slot,null
91,Plastic King,A,20,"Recombine the parts of this 1:1 scale model kit to build any kind of vehicle. Fully functional, fuel not included.",Specified Slot,null
92,Swap Ticket,S,7,"Rip the ticket and give it to someone you want to switch with, and you can live his life for 24 hours. Book of 1000.",Specified Slot,null
93,Book of Life,B,28,"An encyclopedia of everyone who's been in your life since your birth, with records of conversations and memorable incidents. It may end up being tens of thousands of pages long.",Specified Slot,null
94,Bandit's Blade,S,10,"A successful attack with this weapon will cast ""Mug"", ""Pickpocket"", or ""Thief"" on the target. Not effective on someone using ""Fortress"" or Paladin's Necklace.",Specified Slot,null
95,Secret Cape,A,20,"You will be under the effect of ""Blackout Curtain"" while wearing this cape.",Specified Slot,null
96,Clairvoyant Snake,A,12,"Feed it a card Rank C or above, and it will spit up a ""Clairvoyance.""",Specified Slot,null
97,3-D Camera,A,20,"Pictures taken with this will be developed as 3-D objects, with all textures reproduced. Make enlargements as needed.",Specified Slot,null
98,Silver Dog,S,8,An endangered species with silver fur. Mix 5g of gold into its food every day and it will excrete one kg of solid silver feces.,Specified Slot,null
99,Panda Maid,S,8,"An endangered species. Very neat and loves to cook, and each has a hobby such as sewing or gardening. They are excellent at taking care of human children.",Specified Slot,null
